Dataset length,BSTInsertOpCount,BSTSearchOpCount,AVLInsertOpCount,AVLSearchOpCount

947,9654,1,8206,5
947,9654,3,8206,7
947,9654,5,8206,13
947,9654,3,8206,1
947,9654,5,8206,15
947,9654,5,8206,9
947,9654,7,8206,3
947,9654,9,8206,15
947,9654,7,8206,5
947,9654,9,8206,9
947,9654,7,8206,11
947,9654,5,8206,13
947,9654,11,8206,7
947,9654,7,8206,17
947,9654,9,8206,19
947,9654,9,8206,15
947,9654,9,8206,3
947,9654,11,8206,5
947,9654,7,8206,15
947,9654,7,8206,9
947,9654,7,8206,17
947,9654,9,8206,7
947,9654,11,8206,19
947,9654,13,8206,15
947,9654,9,8206,9
947,9654,11,8206,11
947,9654,11,8206,15
947,9654,13,8206,9
947,9654,11,8206,11
947,9654,9,8206,17
947,9654,15,8206,17
947,9654,11,8206,13
947,9654,11,8206,15
947,9654,11,8206,9
947,9654,13,8206,17
947,9654,15,8206,9
947,9654,9,8206,13
947,9654,9,8206,17
947,9654,15,8206,17
947,9654,9,8206,13
947,9654,11,8206,17
947,9654,17,8206,9
947,9654,15,8206,9
947,9654,15,8206,9
947,9654,13,8206,17
947,9654,17,8206,17
947,9654,17,8206,7
947,9654,11,8206,13
947,9654,7,8206,17
947,9654,13,8206,13
947,9654,9,8206,15
947,9654,13,8206,9
947,9654,13,8206,13
947,9654,11,8206,11
947,9654,15,8206,17
947,9654,17,8206,15
947,9654,17,8206,13
947,9654,15,8206,9
947,9654,19,8206,11
947,9654,13,8206,15
947,9654,13,8206,19
947,9654,13,8206,15
947,9654,15,8206,9
947,9654,15,8206,15
947,9654,19,8206,15
947,9654,17,8206,13
947,9654,13,8206,11
947,9654,17,8206,15
947,9654,21,8206,7
947,9654,13,8206,13
947,9654,13,8206,11
947,9654,11,8206,11
947,9654,9,8206,15
947,9654,11,8206,15
947,9654,15,8206,17
947,9654,19,8206,19
947,9654,11,8206,19
947,9654,17,8206,13
947,9654,21,8206,17
947,9654,15,8206,19
947,9654,9,8206,15
947,9654,17,8206,5
947,9654,15,8206,19
947,9654,17,8206,11
947,9654,15,8206,13
947,9654,13,8206,11
947,9654,13,8206,13
947,9654,13,8206,17
947,9654,19,8206,7
947,9654,15,8206,17
947,9654,19,8206,13
947,9654,17,8206,11
947,9654,23,8206,11
947,9654,19,8206,15
947,9654,21,8206,13
947,9654,19,8206,15
947,9654,11,8206,19
947,9654,13,8206,13
947,9654,13,8206,17
947,9654,15,8206,17
947,9654,15,8206,17
947,9654,21,8206,17
947,9654,19,8206,11
947,9654,15,8206,19
947,9654,17,8206,19
947,9654,23,8206,17
947,9654,15,8206,15
947,9654,19,8206,15
947,9654,11,8206,13
947,9654,21,8206,13
947,9654,25,8206,17
947,9654,19,8206,7
947,9654,23,8206,17
947,9654,17,8206,9
947,9654,23,8206,17
947,9654,13,8206,17
947,9654,21,8206,13
947,9654,15,8206,17
947,9654,17,8206,19
947,9654,11,8206,13
947,9654,21,8206,13
947,9654,23,8206,15
947,9654,13,8206,15
947,9654,15,8206,13
947,9654,23,8206,15
947,9654,17,8206,11
947,9654,19,8206,17
947,9654,17,8206,17
947,9654,19,8206,17
947,9654,17,8206,17
947,9654,19,8206,11
947,9654,11,8206,11
947,9654,21,8206,17
947,9654,17,8206,19
947,9654,15,8206,15
947,9654,23,8206,15
947,9654,17,8206,13
947,9654,13,8206,17
947,9654,25,8206,17
947,9654,25,8206,17
947,9654,19,8206,17
947,9654,15,8206,17
947,9654,17,8206,7
947,9654,15,8206,13
947,9654,19,8206,17
947,9654,23,8206,15
947,9654,25,8206,17
947,9654,21,8206,17
947,9654,11,8206,17
947,9654,17,8206,11
947,9654,15,8206,19
947,9654,27,8206,17
947,9654,19,8206,13
947,9654,11,8206,13
947,9654,11,8206,15
947,9654,21,8206,15
947,9654,13,8206,17
947,9654,23,8206,17
947,9654,21,8206,11
947,9654,17,8206,15
947,9654,21,8206,15
947,9654,23,8206,17
947,9654,17,8206,13
947,9654,23,8206,11
947,9654,17,8206,11
947,9654,17,8206,17
947,9654,13,8206,15
947,9654,13,8206,17
947,9654,15,8206,11
947,9654,25,8206,19
947,9654,19,8206,9
947,9654,25,8206,17
947,9654,17,8206,17
947,9654,19,8206,19
947,9654,19,8206,13
947,9654,23,8206,15
947,9654,25,8206,19
947,9654,15,8206,19
947,9654,17,8206,17
947,9654,17,8206,15
947,9654,15,8206,11
947,9654,21,8206,17
947,9654,17,8206,17
947,9654,25,8206,13
947,9654,15,8206,19
947,9654,19,8206,11
947,9654,17,8206,17
947,9654,27,8206,13
947,9654,17,8206,15
947,9654,17,8206,19
947,9654,17,8206,17
947,9654,15,8206,19
947,9654,19,8206,21
947,9654,15,8206,19
947,9654,19,8206,19
947,9654,19,8206,11
947,9654,21,8206,19
947,9654,23,8206,19
947,9654,17,8206,19
947,9654,21,8206,15
947,9654,21,8206,17
947,9654,23,8206,19
947,9654,15,8206,11
947,9654,17,8206,19
947,9654,25,8206,17
947,9654,19,8206,13
947,9654,15,8206,19
947,9654,21,8206,19
947,9654,19,8206,19
947,9654,13,8206,15
947,9654,11,8206,17
947,9654,13,8206,19
947,9654,13,8206,19
947,9654,21,8206,15
947,9654,17,8206,17
947,9654,17,8206,15
947,9654,13,8206,15
947,9654,27,8206,13
947,9654,21,8206,17
947,9654,19,8206,19
947,9654,27,8206,17
947,9654,21,8206,17
947,9654,19,8206,19
947,9654,19,8206,21
947,9654,15,8206,19
947,9654,13,8206,13
947,9654,23,8206,13
947,9654,19,8206,17
947,9654,19,8206,17
947,9654,19,8206,13
947,9654,23,8206,15
947,9654,23,8206,17
947,9654,19,8206,19
947,9654,19,8206,17
947,9654,23,8206,17
947,9654,15,8206,15
947,9654,21,8206,19
947,9654,23,8206,15
947,9654,21,8206,17
947,9654,15,8206,19
947,9654,21,8206,13
947,9654,19,8206,19
947,9654,19,8206,19
947,9654,19,8206,19
947,9654,17,8206,13
947,9654,23,8206,11
947,9654,19,8206,17
947,9654,19,8206,15
947,9654,25,8206,15
947,9654,15,8206,17
947,9654,23,8206,15
947,9654,21,8206,15
947,9654,19,8206,21
947,9654,27,8206,17
947,9654,27,8206,13
947,9654,21,8206,17
947,9654,13,8206,17
947,9654,13,8206,17
947,9654,15,8206,17
947,9654,25,8206,17
947,9654,17,8206,17
947,9654,23,8206,15
947,9654,19,8206,15
947,9654,21,8206,17
947,9654,25,8206,17
947,9654,21,8206,19
947,9654,15,8206,17
947,9654,19,8206,15
947,9654,13,8206,19
947,9654,21,8206,13
947,9654,19,8206,15
947,9654,17,8206,17
947,9654,21,8206,17
947,9654,19,8206,17
947,9654,13,8206,19
947,9654,21,8206,17
947,9654,15,8206,17
947,9654,19,8206,19
947,9654,23,8206,13
947,9654,17,8206,19
947,9654,17,8206,17
947,9654,17,8206,19
947,9654,19,8206,17
947,9654,29,8206,15
947,9654,19,8206,19
947,9654,25,8206,17
947,9654,13,8206,13
947,9654,15,8206,13
947,9654,29,8206,15
947,9654,25,8206,17
947,9654,17,8206,21
947,9654,29,8206,19
947,9654,23,8206,13
947,9654,17,8206,21
947,9654,27,8206,17
947,9654,25,8206,15
947,9654,17,8206,17
947,9654,29,8206,19
947,9654,25,8206,19
947,9654,21,8206,17
947,9654,21,8206,13
947,9654,21,8206,15
947,9654,15,8206,15
947,9654,23,8206,17
947,9654,21,8206,19
947,9654,27,8206,19
947,9654,31,8206,17
947,9654,19,8206,15
947,9654,21,8206,15
947,9654,19,8206,17
947,9654,23,8206,17
947,9654,19,8206,15
947,9654,13,8206,17
947,9654,25,8206,17
947,9654,19,8206,17
947,9654,21,8206,13
947,9654,25,8206,15
947,9654,19,8206,17
947,9654,23,8206,11
947,9654,19,8206,19
947,9654,21,8206,17
947,9654,27,8206,13
947,9654,15,8206,15
947,9654,31,8206,17
947,9654,23,8206,13
947,9654,17,8206,17
947,9654,25,8206,15
947,9654,23,8206,13
947,9654,25,8206,15
947,9654,25,8206,17
947,9654,23,8206,13
947,9654,21,8206,19
947,9654,25,8206,19
947,9654,23,8206,19
947,9654,17,8206,21
947,9654,15,8206,21
947,9654,23,8206,19
947,9654,21,8206,17
947,9654,17,8206,19
947,9654,23,8206,15
947,9654,17,8206,13
947,9654,17,8206,17
947,9654,15,8206,17
947,9654,19,8206,19
947,9654,21,8206,17
947,9654,15,8206,15
947,9654,17,8206,17
947,9654,23,8206,17
947,9654,19,8206,15
947,9654,21,8206,17
947,9654,23,8206,19
947,9654,19,8206,15
947,9654,21,8206,17
947,9654,21,8206,15
947,9654,19,8206,17
947,9654,23,8206,17
947,9654,13,8206,9
947,9654,27,8206,15
947,9654,21,8206,19
947,9654,25,8206,17
947,9654,23,8206,13
947,9654,21,8206,19
947,9654,23,8206,19
947,9654,25,8206,13
947,9654,25,8206,19
947,9654,15,8206,15
947,9654,17,8206,15
947,9654,23,8206,13
947,9654,29,8206,19
947,9654,19,8206,15
947,9654,23,8206,15
947,9654,27,8206,19
947,9654,21,8206,17
947,9654,23,8206,19
947,9654,27,8206,15
947,9654,19,8206,21
947,9654,21,8206,13
947,9654,15,8206,19
947,9654,23,8206,19
947,9654,15,8206,15
947,9654,27,8206,19
947,9654,29,8206,15
947,9654,17,8206,19
947,9654,19,8206,15
947,9654,25,8206,19
947,9654,19,8206,17
947,9654,19,8206,17
947,9654,23,8206,17
947,9654,27,8206,21
947,9654,23,8206,13
947,9654,21,8206,17
947,9654,25,8206,15
947,9654,13,8206,15
947,9654,21,8206,17
947,9654,27,8206,15
947,9654,11,8206,17
947,9654,29,8206,19
947,9654,21,8206,17
947,9654,27,8206,19
947,9654,25,8206,15
947,9654,17,8206,11
947,9654,21,8206,15
947,9654,19,8206,19
947,9654,23,8206,15
947,9654,19,8206,13
947,9654,17,8206,17
947,9654,19,8206,17
947,9654,17,8206,21
947,9654,23,8206,19
947,9654,15,8206,17
947,9654,25,8206,15
947,9654,21,8206,15
947,9654,17,8206,19
947,9654,27,8206,19
947,9654,17,8206,15
947,9654,25,8206,17
947,9654,19,8206,19
947,9654,27,8206,17
947,9654,21,8206,19
947,9654,25,8206,15
947,9654,25,8206,17
947,9654,21,8206,17
947,9654,23,8206,17
947,9654,15,8206,17
947,9654,25,8206,19
947,9654,25,8206,21
947,9654,23,8206,13
947,9654,29,8206,15
947,9654,19,8206,15
947,9654,17,8206,15
947,9654,19,8206,19
947,9654,15,8206,17
947,9654,27,8206,15
947,9654,15,8206,19
947,9654,31,8206,19
947,9654,25,8206,13
947,9654,23,8206,17
947,9654,29,8206,19
947,9654,23,8206,15
947,9654,21,8206,19
947,9654,27,8206,17
947,9654,17,8206,13
947,9654,25,8206,17
947,9654,29,8206,15
947,9654,27,8206,15
947,9654,25,8206,17
947,9654,21,8206,13
947,9654,27,8206,15
947,9654,21,8206,15
947,9654,29,8206,15
947,9654,21,8206,19
947,9654,21,8206,17
947,9654,21,8206,19
947,9654,13,8206,19
947,9654,21,8206,19
947,9654,29,8206,21
947,9654,21,8206,19
947,9654,27,8206,15
947,9654,21,8206,17
947,9654,23,8206,17
947,9654,31,8206,19
947,9654,23,8206,19
947,9654,21,8206,21
947,9654,21,8206,17
947,9654,27,8206,19
947,9654,23,8206,19
947,9654,29,8206,21
947,9654,21,8206,21
947,9654,27,8206,19
947,9654,31,8206,17
947,9654,31,8206,19
947,9654,27,8206,21
947,9654,21,8206,17
947,9654,23,8206,19
947,9654,25,8206,19
947,9654,17,8206,15
947,9654,23,8206,11
947,9654,25,8206,17
947,9654,27,8206,19
947,9654,23,8206,19
947,9654,21,8206,21
947,9654,27,8206,19
947,9654,29,8206,21
947,9654,25,8206,21
947,9654,23,8206,15
947,9654,9,8206,15
947,9654,15,8206,15
947,9654,23,8206,19
947,9654,29,8206,19
947,9654,25,8206,21
947,9654,29,8206,15
947,9654,21,8206,17
947,9654,17,8206,17
947,9654,31,8206,17
947,9654,21,8206,19
947,9654,25,8206,17
947,9654,27,8206,17
947,9654,17,8206,17
947,9654,23,8206,19
947,9654,21,8206,17
947,9654,23,8206,19
947,9654,19,8206,19
947,9654,23,8206,19
947,9654,23,8206,21
947,9654,25,8206,19
947,9654,23,8206,19
947,9654,29,8206,19
947,9654,27,8206,17
947,9654,27,8206,15
947,9654,21,8206,15
947,9654,19,8206,19
947,9654,15,8206,19
947,9654,31,8206,17
947,9654,27,8206,11
947,9654,23,8206,19
947,9654,25,8206,17
947,9654,23,8206,17
947,9654,23,8206,19
947,9654,23,8206,17
947,9654,19,8206,15
947,9654,17,8206,17
947,9654,29,8206,17
947,9654,23,8206,21
947,9654,23,8206,19
947,9654,17,8206,19
947,9654,21,8206,21
947,9654,27,8206,17
947,9654,17,8206,19
947,9654,25,8206,19
947,9654,21,8206,19
947,9654,25,8206,15
947,9654,25,8206,21
947,9654,17,8206,19
947,9654,21,8206,17
947,9654,31,8206,17
947,9654,19,8206,21
947,9654,29,8206,19
947,9654,25,8206,17
947,9654,31,8206,21
947,9654,21,8206,19
947,9654,25,8206,19
947,9654,23,8206,19
947,9654,27,8206,21
947,9654,23,8206,15
947,9654,23,8206,21
947,9654,23,8206,17
947,9654,31,8206,15
947,9654,23,8206,21
947,9654,31,8206,21
947,9654,29,8206,19
947,9654,25,8206,15
947,9654,33,8206,19
947,9654,21,8206,17
947,9654,29,8206,21
947,9654,25,8206,19
947,9654,15,8206,17
947,9654,27,8206,17
947,9654,29,8206,15
947,9654,19,8206,19
947,9654,15,8206,19
947,9654,23,8206,19
947,9654,23,8206,19
947,9654,21,8206,21
947,9654,29,8206,11
947,9654,23,8206,19
947,9654,29,8206,15
947,9654,21,8206,19
947,9654,25,8206,15
947,9654,19,8206,21
947,9654,29,8206,19
947,9654,21,8206,21
947,9654,25,8206,17
947,9654,15,8206,19
947,9654,23,8206,19
947,9654,23,8206,15
947,9654,25,8206,19
947,9654,23,8206,19
947,9654,27,8206,21
947,9654,31,8206,21
947,9654,25,8206,17
947,9654,27,8206,19
947,9654,13,8206,19
947,9654,29,8206,19
947,9654,25,8206,21
947,9654,25,8206,17
947,9654,17,8206,17
947,9654,23,8206,21
947,9654,19,8206,17
947,9654,29,8206,17
947,9654,23,8206,19
947,9654,17,8206,15
947,9654,21,8206,19
947,9654,27,8206,21
947,9654,23,8206,19
947,9654,21,8206,15
947,9654,19,8206,19
947,9654,11,8206,17
947,9654,21,8206,21
947,9654,31,8206,17
947,9654,29,8206,13
947,9654,19,8206,17
947,9654,27,8206,19
947,9654,25,8206,17
947,9654,27,8206,19
947,9654,19,8206,17
947,9654,25,8206,19
947,9654,31,8206,21
947,9654,27,8206,19
947,9654,27,8206,17
947,9654,25,8206,19
947,9654,23,8206,21
947,9654,15,8206,19
947,9654,23,8206,19
947,9654,19,8206,19
947,9654,17,8206,17
947,9654,31,8206,17
947,9654,19,8206,21
947,9654,21,8206,19
947,9654,15,8206,11
947,9654,19,8206,17
947,9654,27,8206,19
947,9654,25,8206,17
947,9654,27,8206,19
947,9654,17,8206,13
947,9654,31,8206,17
947,9654,21,8206,21
947,9654,25,8206,19
947,9654,23,8206,19
947,9654,29,8206,19
947,9654,33,8206,19
947,9654,17,8206,19
947,9654,23,8206,19
947,9654,27,8206,19
947,9654,25,8206,19
947,9654,27,8206,15
947,9654,25,8206,17
947,9654,25,8206,19
947,9654,17,8206,19
947,9654,27,8206,19
947,9654,31,8206,19
947,9654,15,8206,19
947,9654,19,8206,15
947,9654,21,8206,17
947,9654,25,8206,15
947,9654,19,8206,17
947,9654,19,8206,19
947,9654,19,8206,17
947,9654,25,8206,19
947,9654,19,8206,19
947,9654,25,8206,21
947,9654,29,8206,19
947,9654,21,8206,15
947,9654,27,8206,17
947,9654,27,8206,21
947,9654,33,8206,21
947,9654,31,8206,21
947,9654,17,8206,21
947,9654,21,8206,15
947,9654,19,8206,19
947,9654,23,8206,21
947,9654,15,8206,17
947,9654,17,8206,19
947,9654,19,8206,17
947,9654,21,8206,19
947,9654,19,8206,17
947,9654,27,8206,19
947,9654,27,8206,21
947,9654,27,8206,13
947,9654,33,8206,17
947,9654,25,8206,21
947,9654,33,8206,17
947,9654,29,8206,15
947,9654,25,8206,19
947,9654,25,8206,19
947,9654,27,8206,17
947,9654,25,8206,17
947,9654,15,8206,17
947,9654,15,8206,21
947,9654,13,8206,19
947,9654,33,8206,19
947,9654,21,8206,19
947,9654,17,8206,17
947,9654,21,8206,15
947,9654,13,8206,19
947,9654,25,8206,19
947,9654,27,8206,19
947,9654,31,8206,19
947,9654,33,8206,19
947,9654,21,8206,19
947,9654,35,8206,19
947,9654,19,8206,23
947,9654,33,8206,21
947,9654,27,8206,19
947,9654,21,8206,21
947,9654,23,8206,21
947,9654,27,8206,19
947,9654,21,8206,19
947,9654,23,8206,17
947,9654,19,8206,19
947,9654,23,8206,19
947,9654,29,8206,19
947,9654,25,8206,21
947,9654,31,8206,17
947,9654,29,8206,17
947,9654,23,8206,17
947,9654,25,8206,21
947,9654,29,8206,21
947,9654,23,8206,21
947,9654,19,8206,15
947,9654,27,8206,17
947,9654,21,8206,15
947,9654,29,8206,17
947,9654,27,8206,17
947,9654,21,8206,23
947,9654,27,8206,21
947,9654,29,8206,19
947,9654,23,8206,21
947,9654,23,8206,19
947,9654,23,8206,17
947,9654,23,8206,19
947,9654,25,8206,19
947,9654,27,8206,19
947,9654,29,8206,17
947,9654,31,8206,19
947,9654,31,8206,21
947,9654,29,8206,19
947,9654,17,8206,15
947,9654,19,8206,23
947,9654,17,8206,19
947,9654,35,8206,19
947,9654,35,8206,21
947,9654,31,8206,23
947,9654,31,8206,17
947,9654,25,8206,21
947,9654,23,8206,19
947,9654,19,8206,19
947,9654,17,8206,19
947,9654,17,8206,17
947,9654,27,8206,21
947,9654,35,8206,21
947,9654,17,8206,17
947,9654,31,8206,19
947,9654,23,8206,17
947,9654,31,8206,21
947,9654,25,8206,21
947,9654,23,8206,19
947,9654,19,8206,19
947,9654,31,8206,21
947,9654,25,8206,23
947,9654,19,8206,21
947,9654,29,8206,19
947,9654,19,8206,21
947,9654,31,8206,17
947,9654,29,8206,17
947,9654,19,8206,17
947,9654,29,8206,21
947,9654,31,8206,21
947,9654,23,8206,19
947,9654,27,8206,19
947,9654,29,8206,17
947,9654,25,8206,19
947,9654,25,8206,21
947,9654,25,8206,21
947,9654,37,8206,21
947,9654,25,8206,21
947,9654,27,8206,21
947,9654,19,8206,17
947,9654,19,8206,19
947,9654,27,8206,19
947,9654,23,8206,19
947,9654,27,8206,21
947,9654,31,8206,21
947,9654,23,8206,19
947,9654,21,8206,19
947,9654,21,8206,21
947,9654,29,8206,21
947,9654,23,8206,19
947,9654,31,8206,21
947,9654,19,8206,17
947,9654,27,8206,19
947,9654,29,8206,21
947,9654,21,8206,21
947,9654,21,8206,21
947,9654,23,8206,17
947,9654,19,8206,19
947,9654,23,8206,21
947,9654,27,8206,19
947,9654,31,8206,21
947,9654,27,8206,19
947,9654,21,8206,17
947,9654,21,8206,19
947,9654,29,8206,17
947,9654,29,8206,21
947,9654,19,8206,21
947,9654,31,8206,19
947,9654,33,8206,19
947,9654,25,8206,17
947,9654,33,8206,19
947,9654,17,8206,19
947,9654,25,8206,21
947,9654,23,8206,17
947,9654,19,8206,19
947,9654,19,8206,17
947,9654,23,8206,19
947,9654,23,8206,21
947,9654,23,8206,19
947,9654,31,8206,21
947,9654,33,8206,21
947,9654,25,8206,17
947,9654,19,8206,19
947,9654,21,8206,21
947,9654,33,8206,19
947,9654,29,8206,21
947,9654,33,8206,21
947,9654,17,8206,17
947,9654,27,8206,19
947,9654,31,8206,19
947,9654,15,8206,21
947,9654,21,8206,21
947,9654,25,8206,21
947,9654,23,8206,21
947,9654,15,8206,21
947,9654,29,8206,17
947,9654,19,8206,21
947,9654,31,8206,19
947,9654,21,8206,19
947,9654,25,8206,21
947,9654,25,8206,21
947,9654,21,8206,19
947,9654,21,8206,21
947,9654,31,8206,21
947,9654,33,8206,19
947,9654,27,8206,21
947,9654,31,8206,19
947,9654,19,8206,19
947,9654,27,8206,23
947,9654,19,8206,19
947,9654,21,8206,21
947,9654,21,8206,19
947,9654,23,8206,19
947,9654,25,8206,21
947,9654,17,8206,21
947,9654,25,8206,23
947,9654,25,8206,19
947,9654,23,8206,19
947,9654,25,8206,21
947,9654,25,8206,21
947,9654,25,8206,17
947,9654,21,8206,21
947,9654,17,8206,21
947,9654,27,8206,19
947,9654,21,8206,17
947,9654,21,8206,21
947,9654,17,8206,17
947,9654,23,8206,21
947,9654,21,8206,21
947,9654,27,8206,21
947,9654,29,8206,19
947,9654,21,8206,19
947,9654,25,8206,17
947,9654,21,8206,19
947,9654,27,8206,21
947,9654,23,8206,21
947,9654,23,8206,19
947,9654,15,8206,21
947,9654,27,8206,21
947,9654,31,8206,19
947,9654,19,8206,19
947,9654,19,8206,21
947,9654,21,8206,21
947,9654,31,8206,23
947,9654,21,8206,21
947,9654,21,8206,21
947,9654,17,8206,21
947,9654,27,8206,21
947,9654,23,8206,21
947,9654,29,8206,19
947,9654,17,8206,17
947,9654,29,8206,23
947,9654,33,8206,21
947,9654,25,8206,21
947,9654,15,8206,19
947,9654,27,8206,17
947,9654,27,8206,17
947,9654,23,8206,17
947,9654,21,8206,19
947,9654,23,8206,21
947,9654,21,8206,21
947,9654,15,8206,19
947,9654,25,8206,21
947,9654,23,8206,21
947,9654,27,8206,21
947,9654,27,8206,21
947,9654,29,8206,21
947,9654,21,8206,19
947,9654,33,8206,21
947,9654,21,8206,19
947,9654,21,8206,19
947,9654,33,8206,19
947,9654,17,8206,19
947,9654,23,8206,23
947,9654,25,8206,21
947,9654,23,8206,21
947,9654,21,8206,19
947,9654,31,8206,21
947,9654,25,8206,19
947,9654,23,8206,21
947,9654,21,8206,21
947,9654,27,8206,19
947,9654,21,8206,21
947,9654,31,8206,19
947,9654,23,8206,21
947,9654,23,8206,19
947,9654,17,8206,19
947,9654,23,8206,21
947,9654,13,8206,17
947,9654,23,8206,23
947,9654,37,8206,21
947,9654,23,8206,21
947,9654,17,8206,23
947,9654,35,8206,21
947,9654,21,8206,21
947,9654,23,8206,23
947,9654,33,8206,21
947,9654,23,8206,21
947,9654,33,8206,19
947,9654,23,8206,21
947,9654,13,8206,19
947,9654,29,8206,19
947,9654,27,8206,21
947,9654,33,8206,19
947,9654,25,8206,23
947,9654,19,8206,19
947,9654,23,8206,21
947,9654,17,8206,21
947,9654,25,8206,21
947,9654,23,8206,17
947,9654,31,8206,21
947,9654,17,8206,21
947,9654,25,8206,19
947,9654,19,8206,21
947,9654,25,8206,21
947,9654,21,8206,21
947,9654,15,8206,21
947,9654,25,8206,21
947,9654,23,8206,21
947,9654,23,8206,23
